STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
2262,GROUND WATER FROM KARIMGANJ (COLLEGE),Assam,16,16,16,6.7,6.7,6.7,181,181,181,1.2,1.2,1.2,4.41,5,5,NA,NA,NA,NA,NA,NA
2263,GROUND WATER FROM HIALAKANDI (NEAR ASTC BUS STAND ),Assam,18,18,18,5.9,7.1,6.5,95,113,104,0.7,1.3,1,0.23,0.23,0.23,NA,NA,NA,NA,NA,NA
2264,GROUND WATER IN PANCHGRAM MARKET NEAR CACHAR PAPER MILL,Assam,15,18,17,5.9,7.2,6.6,206,472,339,0.8,1.3,1.1,1.25,1.25,1.25,NA,NA,NA,NA,NA,NA
1513,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",ANDHRA PRADESH,20,20,20,7.7,7.7,7.7,1534,1534,1534,0.6,0.6,0.6,3.6,4,4,1,20,8,3,120,26
1514,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST., A.P.",ANDHRA PRADESH,21,21,21,7.8,7.8,7.8,1536,1536,1536,0.6,0.6,0.6,1.2,1,1,NA,NA,NA,400,400,400
1515,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",ANDHRA PRADESH,22,22,22,6.8,6.8,6.8,1830,1830,1830,0.6,0.6,0.6,2.1,2,2,NA,NA,NA,600,600,600
1516,B W OF NAVLOK GARDENS NELLORE AP,ANDHRA PRADESH,22,22,22,8.5,8.5,8.5,771,771,771,0.6,0.6,0.6,0.68,1,1,NA,NA,NA,600,600,600
1517,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",ANDHRA PRADESH,26,29,27.5,7.4,8.6,8.2,1200,1200,1200,2,2.4,2.3,2.6,3,3,NA,NA,NA,700,700,700
1518,"B/W. - NANDYAL, KURNOOL DIST., A.P.",ANDHRA PRADESH,25,27,26,7.5,8,7.7,900,1200,1042,2.5,2.7,2.6,0.05,0,5,40,40,40,100,100,100
1519,"B/W. - NAGIRI, CHITTOOR DIST., A.P",ANDHRA PRADESH,27,30,27.8,7.6,8,7.8,1000,1200,1100,2,2.4,2.2,0.5,0,2,50,80,70,20,210,162
1520,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",ANDHRA PRADESH,27,37.5,30.3,7.8,8,7.9,1000,1200,1140,0.2,2.9,2.3,1.9,2,2,26,50,39,100,386,161
1521,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",ANDHRA PRADESH,26,26,26,7.2,7.2,7.2,1459,1459,1459,1.2,1.2,1.2,9.633,10,10,30,60,50,120,950,290
1522,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",ANDHRA PRADESH,25,28,26.4,7.1,7.7,7.3,568,1067,843,NA,NA,NA,2.08,2,2,NA,NA,NA,15,15,15
1523,"B/W. - NEAR M/S ANDHRA SUGARS LTD. , KOVVUR , W.G.DIST., A.P",ANDHRA PRADESH,26,26,26,7,7,7,248,248,248,NA,NA,NA,0.19,0,0,NA,NA,NA,4,11,9
1524,"O/W. -NEAR PARTAP NAGAR BRIIDGE -KAKINADA , E.G.DIST., A.P",ANDHRA PRADESH,25,25,25,6.9,6.9,6.9,1841,1841,1841,1.2,1.2,1.2,2.34,2,2,NA,NA,NA,28,28,28
1525,"B/W - IDA , NEAR CHAITANYA CHLORIDES , PASHAMAYLAM , MEDAK DIST.",ANDHRA PRADESH,29,29,29,7.8,7.8,7.8,1772,1772,1772,0.8,0.8,0.8,5,5,5,NA,NA,NA,4,4,4
1795,"B/W. - PANCHAYAT OFFICE , , BOLLARAM (V) MEDAK DIST., A.P",ANDHRA PRADESH,29,29,29,7.8,7.8,7.8,2950,2950,2950,5.6,5.6,5.6,15,15,15,4,4,4,10,10,10
1810,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABAD DIST. , A.P",ANDHRA PRADESH,29,29,29,8,8,8,2265,2265,2265,1.4,1.4,1.4,8,8,8,10,10,10,65,65,65
